Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.8073319481207886,0.08507405129809209,0.7222578968226965,0.09475147138770221
2,0.5415916044041141,-0.18066629241858234,0.7222578968226965,0.09475147138770221
3,0.7326987812292434,0.010440884406546891,0.7222578968226965,0.09475147138770221
4,0.6004115454013277,-0.12184635142136879,0.7222578968226965,0.09475147138770221
5,0.8869086231396166,0.16465072631692013,0.7222578968226965,0.09475147138770221
6,0.7057375052115794,-0.01652039161111707,0.7222578968226965,0.09475147138770221
7,0.6797013114835528,-0.04255658533914364,0.7222578968226965,0.09475147138770221
8,0.7824819600368372,0.060224063214140755,0.7222578968226965,0.09475147138770221
9,0.7681111909191418,0.04585329409644534,0.7222578968226965,0.09475147138770221
10,0.7176044982807622,-0.0046533985419342505,0.7222578968226965,0.09475147138770221
