ID,File,Story,Characters,Tokens,Segments,JSD Avg,JSD Dev,JSD Avg Run,JSD Std Run
1,01_grimm_pg19068_rumpelstiltskin_tt_20250710_110156.txt,Rumpelstiltskin,6255,1151,9,0.6521425706860504,-0.08897249038322741,0.7411150610692778,0.035083488424507
2,02_grimm_pg19068_rapunzel_tt_20250710_110157.txt,Rapunzel,7689,1429,12,0.7429567872175155,0.0018417261482376324,0.7411150610692778,0.035083488424507
3,03_grimm_pg19068_aschenputtel_tt_20250710_110157.txt,Aschenputtel,15189,2758,22,0.7606165667846428,0.01950150571536502,0.7411150610692778,0.035083488424507
4,04_grimm_pg19068_little_red-cap_tt_20250710_110157.txt,Little Red-cap,7712,1368,12,0.7254920929824898,-0.01562296808678798,0.7411150610692778,0.035083488424507
5,05_grimm_pg19068_the_sleeping_beauty_tt_20250710_110157.txt,The Sleeping Beauty,7299,1324,9,0.7845513604597221,0.043436299390444244,0.7411150610692778,0.035083488424507
6,06_grimm_pg19068_hansel_and_grethel_tt_20250710_110157.txt,Hansel and Grethel,15994,2911,23,0.7210724691590283,-0.020042591910249485,0.7411150610692778,0.035083488424507
7,07_grimm_pg19068_snow-white_tt_20250710_110157.txt,Snow-white,17165,3112,23,0.7416151112616384,0.000500050192360546,0.7411150610692778,0.035083488424507
8,08_grimm_pg19068_the_golden_goose_tt_20250710_110158.txt,The Golden Goose,8951,1659,12,0.7269848416118081,-0.014130219457469728,0.7411150610692778,0.035083488424507
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_tt_20250710_110158.txt,The Wolf and the Seven Kids,5843,1070,9,0.6933488246698102,-0.04776623639946764,0.7411150610692778,0.035083488424507
10,10_grimm_pg19068_the_frog_prince_tt_20250710_110158.txt,The Frog Prince,7837,1445,11,0.785373022875825,0.044257961806547175,0.7411150610692778,0.035083488424507
11,11_grimm_gb1823_jorinda_and_jorindel_tt_20250710_110158.txt,Jorinda and Jorindel,6091,1083,10,0.7909579130240261,0.049842851954748246,0.7411150610692778,0.035083488424507
12,12_grimm_gb1826_the_nose_tt_20250710_110158.txt,The Nose,13443,2530,16,0.7178671748142771,-0.023247886255000738,0.7411150610692778,0.035083488424507
13,13_grimm_ia1853-1_the_little_brother_and_sister_tt_20250710_110158.txt,The Little Brother and Sister,12759,2399,11,0.7106415959926637,-0.03047346507661408,0.7411150610692778,0.035083488424507
14,14_grimm_ia1853-1_the_gold_children_tt_20250710_110158.txt,The Gold Children,10762,1971,16,0.7458927327756318,0.004777671706354014,0.7411150610692778,0.035083488424507
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn_tt_20250710_110159.txt,"The Knapsack, the Hat, and the Horn",13052,2379,15,0.7814698281275234,0.04035476705824559,0.7411150610692778,0.035083488424507
16,16_grimm_gb1826_the_crows_and_the_soldier_tt_20250710_110159.txt,The Crows and the Soldier,6828,1295,7,0.7327215464941252,-0.008393514575152583,0.7411150610692778,0.035083488424507
17,17_grimm_gb1853-2_the_faithful_beasts_tt_20250710_110159.txt,The Faithful Beasts,8239,1536,7,0.7596806195382931,0.01856555846901531,0.7411150610692778,0.035083488424507
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children_tt_20250710_110159.txt,The Sparrow and his Four Children,5604,991,9,0.7350616049358079,-0.00605345613346997,0.7411150610692778,0.035083488424507
19,19_grimm_gb1853-2_the_stolen_farthings_tt_20250710_110159.txt,The Stolen Farthings,1859,340,2,0.7942626688433957,0.053147607774117867,0.7411150610692778,0.035083488424507
20,20_grimm_gb1853-2_three_little_tales_about_toads_tt_20250710_110159.txt,Three Little Tales about Toads,2898,521,4,0.7195918891312792,-0.021523171937998575,0.7411150610692778,0.035083488424507
