Segment Pair,JSD,JSD Dev,JSD Avg,JSD Std
1,0.7769160623597293,0.033407045153177606,0.7435090172065517,0.09616403099249148
2,0.49965294289729906,-0.24385607430925266,0.7435090172065517,0.09616403099249148
3,0.6860184927309584,-0.05749052447559333,0.7435090172065517,0.09616403099249148
4,0.5583119682901742,-0.18519704891637756,0.7435090172065517,0.09616403099249148
5,0.7514469048715643,0.007937887665012577,0.7435090172065517,0.09616403099249148
6,0.8498864145555631,0.10637739734901142,0.7435090172065517,0.09616403099249148
7,0.7897231471048949,0.04621412989834317,0.7435090172065517,0.09616403099249148
8,0.8277236849128463,0.0842146677062946,0.7435090172065517,0.09616403099249148
9,0.847270251886834,0.10376123468028231,0.7435090172065517,0.09616403099249148
10,0.8306098136315331,0.08710079642498136,0.7435090172065517,0.09616403099249148
11,0.724259440265893,-0.019249576940658764,0.7435090172065517,0.09616403099249148
12,0.7547745605394505,0.011265543332898753,0.7435090172065517,0.09616403099249148
13,0.7881621735107062,0.04465315630415445,0.7435090172065517,0.09616403099249148
14,0.7967845218456399,0.053275504639088145,0.7435090172065517,0.09616403099249148
15,0.6694607982850854,-0.07404821892146629,0.7435090172065517,0.09616403099249148
16,0.745143097616655,0.0016340804101032669,0.7435090172065517,0.09616403099249148
