ID,File,Story,Characters,Tokens,Segments,KLD Avg,KLD Dev,KLD Avg Run,KLD Std Run
1,01_grimm_pg19068_rumpelstiltskin_tt_20250710_110156.txt,Rumpelstiltskin,5795,1124,9,0.7161587892853825,0.08750439835159951,0.628654390933783,0.10039393359901382
2,02_grimm_pg19068_rapunzel_tt_20250710_110157.txt,Rapunzel,7073,1393,12,0.6274484720080243,-0.001205918925758609,0.628654390933783,0.10039393359901382
3,03_grimm_pg19068_aschenputtel_tt_20250710_110157.txt,Aschenputtel,14053,2692,22,0.5263728817836139,-0.10228150915016909,0.628654390933783,0.10039393359901382
4,04_grimm_pg19068_little_red-cap_tt_20250710_110157.txt,Little Red-cap,7096,1332,12,0.613013155840953,-0.015641235092829997,0.628654390933783,0.10039393359901382
5,05_grimm_pg19068_the_sleeping_beauty_tt_20250710_110157.txt,The Sleeping Beauty,6839,1297,9,0.6463751988370907,0.017720807903307767,0.628654390933783,0.10039393359901382
6,06_grimm_pg19068_hansel_and_grethel_tt_20250710_110157.txt,Hansel and Grethel,14806,2842,23,0.5791054795767047,-0.049548911357078285,0.628654390933783,0.10039393359901382
7,07_grimm_pg19068_snow-white_tt_20250710_110157.txt,Snow-white,15977,3043,23,0.5694970606824361,-0.05915733025134684,0.628654390933783,0.10039393359901382
8,08_grimm_pg19068_the_golden_goose_tt_20250710_110158.txt,The Golden Goose,8335,1623,12,0.702633023091392,0.07397863215760903,0.628654390933783,0.10039393359901382
9,09_grimm_pg19068_the_wolf_and_the_seven_kids_tt_20250710_110158.txt,The Wolf and the Seven Kids,5383,1043,9,0.7215701645915842,0.09291577365780124,0.628654390933783,0.10039393359901382
10,10_grimm_pg19068_the_frog_prince_tt_20250710_110158.txt,The Frog Prince,7273,1412,11,0.713893716671668,0.08523932573788506,0.628654390933783,0.10039393359901382
11,11_grimm_gb1823_jorinda_and_jorindel_tt_20250710_110158.txt,Jorinda and Jorindel,5579,1053,10,0.6479244549231015,0.01927006398931852,0.628654390933783,0.10039393359901382
12,12_grimm_gb1826_the_nose_tt_20250710_110158.txt,The Nose,12619,2482,16,0.5977085629716975,-0.030945827962085448,0.628654390933783,0.10039393359901382
13,13_grimm_ia1853-1_the_little_brother_and_sister_tt_20250710_110158.txt,The Little Brother and Sister,12195,2366,11,0.6776015111733207,0.048947120239537734,0.628654390933783,0.10039393359901382
14,14_grimm_ia1853-1_the_gold_children_tt_20250710_110158.txt,The Gold Children,9938,1923,16,0.6197934365762947,-0.008860954357488238,0.628654390933783,0.10039393359901382
15,15_grimm_ia1853-1_the_knapsack_the_hat_and_the_horn_tt_20250710_110159.txt,"The Knapsack, the Hat, and the Horn",12280,2334,15,0.5887093763307438,-0.03994501460303912,0.628654390933783,0.10039393359901382
16,16_grimm_gb1826_the_crows_and_the_soldier_tt_20250710_110159.txt,The Crows and the Soldier,6470,1274,7,0.7077277425337076,0.07907335159992468,0.628654390933783,0.10039393359901382
17,17_grimm_gb1853-2_the_faithful_beasts_tt_20250710_110159.txt,The Faithful Beasts,7881,1515,7,0.6425020987532394,0.013847707819456434,0.628654390933783,0.10039393359901382
18,18_grimm_gb1853-2_the_sparrow_and_his_four_children_tt_20250710_110159.txt,The Sparrow and his Four Children,5144,964,9,0.6628132778162871,0.034158886882504125,0.628654390933783,0.10039393359901382
19,19_grimm_gb1853-2_the_stolen_farthings_tt_20250710_110159.txt,The Stolen Farthings,1756,334,2,0.2689130739948358,-0.3597413169389471,0.628654390933783,0.10039393359901382
20,20_grimm_gb1853-2_three_little_tales_about_toads_tt_20250710_110159.txt,Three Little Tales about Toads,2693,509,4,0.7433263412335821,0.11467195029979915,0.628654390933783,0.10039393359901382
